month,aluminum,cobalt,copper,iron ore,lead,molybdenum,nickel,tin,uranium,zinc,dt_ym,dt_y,dt_m
Oct 1995,1671.95458984375,29187.5,2810.06817431793,12.27,639.386352539063,,8068.86376953125,6209.54555587158,11.85,980.431823730469,1995-10-01,1995,10
Nov 1995,1655.92858886719,30875.0,2981.61903664856,12.27,710.5,,8498.095703125,6381.6664451477,11.85,1033.1904296875,1995-11-01,1995,11
Dec 1995,1657.81579589844,31674.9992370605,2918.21064537659,12.27,728.026306152344,,8074.21044921875,6275.78978494263,11.85,1017.15789794922,1995-12-01,1995,12
Jan 1996,1584.47619628906,31750.0,2604.99992943115,12.97,709.880981445313,,7870.71435546875,6257.14255352173,12.2,1019.69049072266,1996-01-01,1996,1
Feb 1996,1594.57141113281,31125.0,2544.66672335968,12.97,768.428588867188,,8198.5,6189.28563092651,15.75,1035.83337402344,1996-02-01,1996,2
Mar 1996,1614.85717773438,29350.0003814697,2563.34994940033,12.97,816.700012207031,,8046.39990234375,6205.24974938354,15.75,1063.25,1996-03-01,1996,3
Apr 1996,1587.40002441406,28375.0,2594.17496803894,12.97,812.025024414063,,8047.0,6467.2502133728,15.9875,1043.94995117188,1996-04-01,1996,4
May 1996,1593.85717773438,28500.0,2658.76193080902,12.97,840.976196289063,,8042.85693359375,6401.90484060059,16.3833333333333,1036.54760742188,1996-05-01,1996,5
Jun 1996,1485.75,26062.5,2177.59998270721,12.97,796.575012207031,,7713.15771484375,6183.7498602478,16.5,1009.40002441406,1996-06-01,1996,6
Jul 1996,1460.02172851563,22687.5,1983.93479971771,12.97,783.782592773438,,7202.60888671875,6245.52201011352,16.5,1000.52172851563,1996-07-01,1996,7
Aug 1996,1466.78576660156,21399.9996185303,2017.85720584564,12.97,816.166687011719,,7037.619140625,6109.52357194824,16.46,1007.95239257813,1996-08-01,1996,8
Sep 1996,1405.76196289063,22149.9996185303,1935.07143060913,12.97,794.261901855469,,7329.8095703125,6093.71419671631,16.15,998.976196289063,1996-09-01,1996,9
Oct 1996,1336.02172851563,21887.5007629395,1960.19567519531,12.97,741.065246582031,,7028.69580078125,5933.09072906494,15.74,1002.71740722656,1996-10-01,1996,10
Nov 1996,1451.04760742188,21399.9996185303,2215.42864607391,12.97,720.285705566406,,6960.71435546875,5993.85704796753,15.07,1044.31433105469,1996-11-01,1996,11
Dec 1996,1500.97619628906,21399.9996185303,2264.59527826385,12.97,689.357116699219,,6571.0478515625,5826.23784094849,14.7625,1036.54760742188,1996-12-01,1996,12
Jan 1997,1575.13635253906,21687.5,2427.27279402924,13.04,691.522705078125,,7069.13623046875,5871.13625131226,14.4875,1086.13635253906,1997-01-01,1997,1
Feb 1997,1582.05297851563,21687.5,2406.63156159363,13.04,657.894714355469,,7736.5791015625,5874.3158881897,13.81,1178.15795898438,1997-02-01,1997,2
Mar 1997,1631.18420410156,19924.9992370605,2420.1842087265,13.04,693.552612304688,,7893.21044921875,5901.31588978271,13.62,1254.34216308594,1997-03-01,1997,3
Apr 1997,1561.11364746094,22468.75,2389.31814949341,13.04,641.613647460938,,7313.13623046875,5707.59082789307,12.825,1240.02270507813,1997-04-01,1997,4
May 1997,1625.44995117188,25375.0,2513.29993523407,13.04,617.849975585938,,7476.0,5704.84985441895,11.8277777777778,1310.125,1997-05-01,1997,5
Jun 1997,1567.1904296875,23406.25,2611.28570015411,13.04,614.047607421875,,7060.0,5560.28570594788,10.9444444444444,1354.97619628906,1997-06-01,1997,6
Jul 1997,1591.5869140625,22562.5,2449.19570404663,13.04,633.5,,6832.7392578125,5435.78267101746,10.485,1517.02172851563,1997-07-01,1997,7
Aug 1997,1710.02502441406,23475.0003814697,2250.10004305115,13.04,607.375,,6764.4501953125,5423.29993872681,10.3944444444444,1650.625,1997-08-01,1997,8
Sep 1997,1611.61901855469,24524.9996185303,2104.30955452118,13.04,632.880981445313,,6498.28564453125,5493.47632770691,10.25,1638.28576660156,1997-09-01,1997,9
Oct 1997,1607.32604980469,23770.0004577637,2050.6955684021,13.04,598.195678710938,,6373.47802734375,5556.52174519653,11.28,1276.67395019531,1997-10-01,1997,10
Nov 1997,1598.32495117188,25412.5003814697,1918.49994499359,13.04,562.599975585938,,6137.25,5650.99988488159,12.75,1171.15002441406,1997-11-01,1997,11
Dec 1997,1530.52380371094,25649.9996185303,1761.45239143524,13.04,525.738098144531,,5942.380859375,5506.19050203857,12.5,1101.26196289063,1997-12-01,1997,12
Jan 1998,1485.47497558594,24995.0008392334,1687.60000986328,13.41,530.650024414063,,5489.0,5200.49997043457,12.0375,1096.25,1998-01-01,1998,1
Feb 1998,1465.17504882813,24668.7507629395,1663.99998604431,13.41,515.625,,5367.25,5236.49997255859,11.375,1043.19995117188,1998-02-01,1998,2
Mar 1998,1438.31823730469,24958.3339691162,1747.15916341095,13.41,558.977294921875,,5397.04541015625,5468.63633969726,10.6625,1046.75,1998-03-01,1998,3
Apr 1998,1417.55004882813,24625.0,1800.12507817535,13.41,571.775024414063,,5391.0,5707.00011245117,10.75,1096.17504882813,1998-04-01,1998,4
May 1998,1364.31579589844,24500.0,1731.65792903595,13.41,542.73681640625,,5016.84228515625,5868.15778062744,10.75,1060.36840820313,1998-05-01,1998,5
Jun 1998,1305.52380371094,24250.0,1656.59518632507,13.41,526.476196289063,,4456.90478515625,5967.85682216797,10.75,1007.59521484375,1998-06-01,1998,6
Jul 1998,1312.66662597656,22819.9996948242,1655.66672697449,13.41,543.642883300781,,4332.619140625,5651.19028632812,10.6111111111111,1043.5,1998-07-01,1998,7
Aug 1998,1310.55004882813,21787.5003814697,1619.92507875671,13.41,526.849975585938,,4078.0,5690.26295066528,10.5,1029.05004882813,1998-08-01,1998,8
Sep 1998,1341.88635253906,20837.4996185303,1646.77269191284,13.41,519.454528808594,,4100.9091796875,5479.77280592957,10.2333333333333,999.636352539063,1998-09-01,1998,9
Oct 1998,1303.70458984375,17750.0,1585.49992534637,13.41,493.204559326172,,3870.45458984375,5424.49987151794,9.60555555555556,941.363647460938,1998-10-01,1998,10
