"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 01, 2013","146.85","146.85","146.85","146.85","-","-5.04%"
"Feb 28, 2013","154.64","154.64","154.64","154.64","-","-0.12%"
"Feb 27, 2013","154.82","154.82","154.82","154.82","-","-0.12%"
"Feb 26, 2013","155.01","155.01","155.01","155.01","-","-0.13%"
"Feb 25, 2013","155.21","155.21","155.21","155.21","-","-0.06%"
"Feb 22, 2013","155.30","155.30","155.30","155.30","-","-0.14%"
"Feb 21, 2013","155.52","155.52","155.52","155.52","-","0.08%"
"Feb 20, 2013","155.39","155.39","155.39","155.39","-","-0.03%"
"Feb 19, 2013","155.43","155.43","155.43","155.43","-","0.10%"
"Feb 15, 2013","155.28","155.28","155.28","155.28","-","-0.70%"
"Feb 14, 2013","156.37","156.37","156.37","156.37","-","-0.16%"
"Feb 13, 2013","156.62","156.62","156.62","156.62","-","-0.13%"
"Feb 12, 2013","156.83","156.83","156.83","156.83","-","0.07%"
"Feb 11, 2013","156.72","156.72","156.72","156.72","-","-0.37%"
"Feb 08, 2013","157.30","157.30","157.30","157.30","-","0.41%"
"Feb 07, 2013","156.65","156.65","156.65","156.65","-","0.44%"
"Feb 06, 2013","155.97","155.97","155.97","155.97","-","0.74%"
"Feb 05, 2013","154.83","154.83","154.83","154.83","-","-0.85%"
"Feb 04, 2013","156.15","156.15","156.15","156.15","-","1.63%"
"Feb 01, 2013","153.64","153.64","153.64","153.64","-","1.84%"
"Jan 31, 2013","150.86","150.86","150.86","150.86","-","0.07%"
"Jan 30, 2013","150.75","150.75","150.75","150.75","-","0.03%"
"Jan 29, 2013","150.70","150.70","150.70","150.70","-","-0.07%"
"Jan 28, 2013","150.80","150.80","150.80","150.80","-","-0.05%"
"Jan 25, 2013","150.88","150.88","150.88","150.88","-","-0.10%"
"Jan 24, 2013","151.03","151.03","151.03","151.03","-","-0.13%"
"Jan 23, 2013","151.23","151.23","151.23","151.23","-","-0.08%"
"Jan 22, 2013","151.35","151.35","151.35","151.35","-","-0.15%"
"Jan 18, 2013","151.57","151.57","151.57","151.57","-","0.17%"
"Jan 17, 2013","151.31","151.31","151.31","151.31","-","-0.04%"
"Jan 16, 2013","151.37","151.37","151.37","151.37","0.01K","-0.54%"
"Jan 15, 2013","152.19","152.19","152.19","152.19","-","-0.39%"
"Jan 14, 2013","152.78","152.78","152.78","152.78","-","1.07%"
"Jan 11, 2013","151.16","151.16","151.16","151.16","-","-0.33%"
"Jan 10, 2013","151.66","151.66","151.66","151.66","-","-0.22%"
"Jan 09, 2013","151.99","151.99","151.99","151.99","-","-0.26%"
"Jan 08, 2013","152.39","152.39","152.39","152.39","-","1.49%"
"Jan 07, 2013","150.16","150.16","150.16","150.16","-","0.84%"
"Jan 04, 2013","148.91","148.91","148.91","148.91","-","-1.54%"
"Jan 03, 2013","151.24","151.24","151.24","151.24","0.06K","3.07%"
"Jan 02, 2013","146.74","146.74","146.74","146.74","-","14.15%"
"Dec 31, 2012","128.55","128.55","128.55","128.55","-","0.25%"
"Dec 28, 2012","128.23","128.23","128.23","128.23","-","-0.46%"
"Dec 27, 2012","128.82","128.82","128.82","128.82","-","-0.72%"
"Dec 26, 2012","129.75","129.75","129.75","129.75","-","0.00%"
"Dec 24, 2012","129.75","129.75","129.75","129.75","-","1.66%"
"Dec 21, 2012","127.63","127.63","127.63","127.63","-","0.04%"
"Dec 20, 2012","127.58","127.58","127.58","127.58","-","0.39%"
"Dec 19, 2012","127.08","127.08","127.08","127.08","-","0.46%"
"Dec 18, 2012","126.50","126.50","126.50","126.50","-","0.40%"
"Dec 17, 2012","126.00","126.00","126.00","126.00","-","1.34%"
"Dec 14, 2012","124.33","124.33","124.33","124.33","-","1.30%"
"Dec 13, 2012","122.73","122.73","122.73","122.73","-","0.34%"
"Dec 12, 2012","122.31","122.31","122.31","122.31","-","0.75%"
"Dec 11, 2012","121.40","121.40","121.40","121.40","-","0.00%"
"Dec 10, 2012","121.40","121.40","121.40","121.40","-","0.09%"
"Dec 07, 2012","121.29","121.29","121.29","121.29","-","2.36%"
"Dec 06, 2012","118.49","118.49","118.49","118.49","-","0.69%"
"Dec 05, 2012","117.68","117.68","117.68","117.68","-","2.70%"
"Dec 04, 2012","114.59","114.59","114.59","114.59","0.02K","0.70%"
"Dec 03, 2012","113.79","113.79","113.79","113.79","0.06K","-5.45%"
"Nov 30, 2012","120.35","120.35","120.35","120.35","-","0.32%"
"Nov 29, 2012","119.97","119.97","119.97","119.97","-","0.03%"
"Nov 28, 2012","119.94","119.94","119.94","119.94","-","-0.13%"
"Nov 27, 2012","120.10","120.10","120.10","120.10","-","-0.13%"
"Nov 26, 2012","120.26","120.26","120.26","120.26","-","0.00%"
"Nov 23, 2012","120.26","120.26","120.26","120.26","-","-0.02%"
"Nov 21, 2012","120.28","120.28","120.28","120.28","-","0.10%"
"Nov 20, 2012","120.16","120.16","120.16","120.16","-","-0.10%"
"Nov 19, 2012","120.28","120.28","120.28","120.28","-","-0.21%"
"Nov 16, 2012","120.53","120.53","120.53","120.53","-","-0.07%"
"Nov 15, 2012","120.61","120.61","120.61","120.61","-","0.37%"
"Nov 14, 2012","120.17","120.17","120.17","120.17","-","-0.01%"
"Nov 13, 2012","120.18","120.18","120.18","120.18","-","-0.38%"
"Nov 12, 2012","120.64","120.64","120.64","120.64","-","0.54%"
"Nov 09, 2012","119.99","119.99","119.99","119.99","-","1.08%"
"Nov 08, 2012","118.71","118.71","118.71","118.71","-","0.31%"
"Nov 07, 2012","118.34","118.34","118.34","118.34","-","0.47%"
"Nov 06, 2012","117.79","117.79","117.79","117.79","-","0.61%"
"Nov 05, 2012","117.08","117.08","117.08","117.08","-","-0.32%"
"Nov 02, 2012","117.45","117.45","117.45","117.45","-","0.00%"
"Nov 01, 2012","117.45","117.45","117.45","117.45","0.02K","3.07%"
"Oct 31, 2012","113.95","113.95","113.95","113.95","-","0.22%"
"Oct 30, 2012","113.70","113.70","113.70","113.70","-","0.00%"
"Oct 29, 2012","113.70","113.70","113.70","113.70","-","0.48%"
"Oct 26, 2012","113.16","113.16","113.16","113.16","-","0.30%"
"Oct 25, 2012","112.82","112.82","112.82","112.82","-","0.27%"
"Oct 24, 2012","112.52","112.52","112.52","112.52","-","0.28%"
"Oct 23, 2012","112.21","112.21","112.21","112.21","-","0.04%"
"Oct 22, 2012","112.17","112.17","112.17","112.17","-","0.39%"
"Oct 19, 2012","111.73","111.73","111.73","111.73","-","-0.07%"
"Oct 18, 2012","111.81","111.81","111.81","111.81","-","0.42%"
"Oct 17, 2012","111.34","111.34","111.34","111.34","-","0.81%"
"Oct 16, 2012","110.44","110.44","110.44","110.44","-","0.45%"
"Oct 15, 2012","109.94","109.94","109.94","109.94","-","-0.11%"
"Oct 12, 2012","110.06","110.06","110.06","110.06","-","-0.24%"
"Oct 11, 2012","110.33","110.33","110.33","110.33","-","-0.24%"
"Oct 10, 2012","110.60","110.60","110.60","110.60","-","-0.66%"
"Oct 09, 2012","111.33","111.33","111.33","111.33","0.01K","0.60%"
"Oct 08, 2012","110.67","110.67","110.67","110.67","0.02K","0.99%"
"Oct 05, 2012","109.59","109.59","109.59","109.59","-","-0.21%"
"Oct 04, 2012","109.82","109.82","109.82","109.82","0.00K","1.13%"
"Oct 03, 2012","108.59","108.59","108.59","108.59","-","1.87%"
"Oct 02, 2012","106.60","106.60","106.60","106.60","-","0.47%"
"Oct 01, 2012","106.10","106.10","106.10","106.10","-","6.96%"
"Sep 27, 2012","99.20","99.20","99.20","99.20","-","0.30%"
"Sep 26, 2012","98.90","98.90","98.90","98.90","-","0.20%"
"Sep 25, 2012","98.70","98.70","98.70","98.70","-","0.20%"
"Sep 24, 2012","98.50","98.50","98.50","98.50","-","0.31%"
"Sep 21, 2012","98.20","98.20","98.20","98.20","-","-0.61%"
"Sep 20, 2012","98.80","98.80","98.80","98.80","-","0.41%"
"Sep 19, 2012","98.40","98.40","98.40","98.40","-","0.72%"
"Sep 18, 2012","97.70","97.70","97.70","97.70","-","0.83%"
"Sep 17, 2012","96.90","96.90","96.90","96.90","-","1.15%"
"Sep 14, 2012","95.80","95.80","95.80","95.80","-","2.02%"
"Sep 13, 2012","93.90","93.90","93.90","93.90","-","-0.11%"
"Sep 12, 2012","94.00","94.00","94.00","94.00","-","-2.59%"
"Sep 11, 2012","96.50","96.50","96.50","96.50","-","1.47%"
"Sep 10, 2012","95.10","95.10","95.10","95.10","-","2.48%"
"Sep 07, 2012","92.80","92.80","92.80","92.80","-","6.06%"
"Sep 06, 2012","87.50","87.50","87.50","87.50","-","2.70%"
"Sep 05, 2012","85.20","85.20","85.20","85.20","-","-1.39%"
"Sep 04, 2012","86.40","86.40","86.40","86.40","-","-19.85%"
"Aug 31, 2012","107.80","107.80","107.80","107.80","-","-0.74%"
"Aug 30, 2012","108.60","108.60","108.60","108.60","-","-0.82%"
"Aug 29, 2012","109.50","109.50","109.50","109.50","-","-0.82%"
"Aug 28, 2012","110.40","110.40","110.40","110.40","-","-0.54%"
"Aug 27, 2012","111.00","111.00","111.00","111.00","-","0.09%"
"Aug 24, 2012","110.90","110.90","110.90","110.90","-","-0.18%"
"Aug 23, 2012","111.10","111.10","111.10","111.10","-","-0.71%"
"Aug 22, 2012","111.90","111.90","111.90","111.90","-","-0.53%"
"Aug 21, 2012","112.50","112.50","112.50","112.50","-","-0.35%"
"Aug 20, 2012","112.90","112.90","112.90","112.90","-","-0.27%"
"Aug 17, 2012","113.20","113.20","113.20","113.20","-","-0.61%"
"Aug 16, 2012","113.90","113.90","113.90","113.90","-","-0.18%"
"Aug 15, 2012","114.10","114.10","114.10","114.10","-","0.09%"
"Aug 14, 2012","114.00","114.00","114.00","114.00","-","-0.52%"
"Aug 13, 2012","114.60","114.60","114.60","114.60","-","-0.17%"
"Aug 10, 2012","114.80","114.80","114.80","114.80","-","-0.78%"
"Aug 09, 2012","115.70","115.70","115.70","115.70","-","-0.09%"
"Aug 08, 2012","115.80","115.80","115.80","115.80","-","-1.11%"
"Aug 07, 2012","117.10","117.10","117.10","117.10","-","0.95%"
"Aug 06, 2012","116.00","116.00","116.00","116.00","-","1.31%"
"Aug 03, 2012","114.50","114.50","114.50","114.50","-","0.09%"
"Aug 02, 2012","114.40","114.40","114.40","114.40","0.00K","-1.63%"
"Aug 01, 2012","116.30","116.30","116.30","116.30","-","-9.07%"
"Jul 31, 2012","127.90","127.90","127.90","127.90","-","-0.47%"
"Jul 30, 2012","128.50","128.50","128.50","128.50","-","-0.46%"
"Jul 27, 2012","129.10","129.10","129.10","129.10","-","-0.39%"
"Jul 26, 2012","129.60","129.60","129.60","129.60","-","-0.77%"
"Jul 25, 2012","130.60","130.60","130.60","130.60","-","-0.08%"
"Jul 24, 2012","130.70","130.70","130.70","130.70","-","-0.23%"
"Jul 23, 2012","131.00","131.00","131.00","131.00","-","-0.38%"
"Jul 20, 2012","131.50","131.50","131.50","131.50","-","-0.38%"
"Jul 19, 2012","132.00","132.00","132.00","132.00","-","-0.30%"
"Jul 18, 2012","132.40","132.40","132.40","132.40","-","-0.30%"
"Jul 17, 2012","132.80","132.80","132.80","132.80","-","-0.23%"
"Jul 16, 2012","133.10","133.10","133.10","133.10","-","-0.15%"
"Jul 13, 2012","133.30","133.30","133.30","133.30","-","-0.22%"
"Jul 12, 2012","133.60","133.60","133.60","133.60","-","0.07%"
"Jul 11, 2012","133.50","133.50","133.50","133.50","-","0.07%"
"Jul 10, 2012","133.40","133.40","133.40","133.40","-","-0.67%"
"Jul 09, 2012","134.30","134.30","134.30","134.30","-","0.15%"
"Jul 06, 2012","134.10","134.10","134.10","134.10","-","-0.45%"
"Jul 05, 2012","134.70","134.70","134.70","134.70","-","0.52%"
"Jul 03, 2012","134.00","134.00","134.00","134.00","-","1.67%"
"Jul 02, 2012","131.80","131.80","131.80","131.80","-","-2.08%"
"Jun 29, 2012","134.60","134.60","134.60","134.60","-","0.00%"
"Jun 28, 2012","134.60","134.60","134.60","134.60","-","0.00%"
"Jun 27, 2012","134.60","134.60","134.60","134.60","-","0.00%"
"Jun 26, 2012","134.60","134.60","134.60","134.60","-","0.00%"
"Jun 25, 2012","134.60","134.60","134.60","134.60","-","0.07%"
"Jun 22, 2012","134.50","134.50","134.50","134.50","-","0.00%"
"Jun 21, 2012","134.50","134.50","134.50","134.50","-","0.00%"
"Jun 20, 2012","134.50","134.50","134.50","134.50","-","0.07%"
"Jun 19, 2012","134.40","134.40","134.40","134.40","-","0.07%"
"Jun 18, 2012","134.30","134.30","134.30","134.30","-","0.45%"
"Jun 15, 2012","133.70","133.70","133.70","133.70","-","0.07%"
"Jun 14, 2012","133.60","133.60","133.60","133.60","-","0.23%"
"Jun 13, 2012","133.30","133.30","133.30","133.30","-","0.83%"
"Jun 12, 2012","132.20","132.20","132.20","132.20","-","0.23%"
"Jun 11, 2012","131.90","131.90","131.90","131.90","-","0.53%"
"Jun 08, 2012","131.20","131.20","131.20","131.20","-","-0.46%"
"Jun 07, 2012","131.80","131.80","131.80","131.80","-","1.54%"
"Jun 06, 2012","129.80","129.80","129.80","129.80","-","-1.67%"
"Jun 05, 2012","132.00","132.00","132.00","132.00","-","0.00%"
"Jun 04, 2012","132.00","132.00","132.00","132.00","-","0.00%"
"Jun 01, 2012","132.00","132.00","132.00","132.00","-","-3.15%"
"May 31, 2012","136.30","136.30","136.30","136.30","-","-0.07%"
"May 30, 2012","136.40","136.40","136.40","136.40","-","0.00%"
"May 29, 2012","136.40","136.40","136.40","136.40","-","-0.44%"
"May 25, 2012","137.00","137.00","137.00","137.00","-","-0.15%"
"May 24, 2012","137.20","137.20","137.20","137.20","-","-0.15%"
"May 23, 2012","137.40","137.40","137.40","137.40","-","-0.29%"
"May 22, 2012","137.80","137.80","137.80","137.80","-","-0.14%"
"May 21, 2012","138.00","138.00","138.00","138.00","-","0.07%"
"May 18, 2012","137.90","137.90","137.90","137.90","-","-0.36%"
"May 17, 2012","138.40","138.40","138.40","138.40","-","-0.14%"
"May 16, 2012","138.60","138.60","138.60","138.60","-","-0.22%"
"May 15, 2012","138.90","138.90","138.90","138.90","-","-0.14%"
"May 14, 2012","139.10","139.10","139.10","139.10","-","-0.78%"
"May 11, 2012","140.20","140.20","140.20","140.20","-","-0.43%"
"May 10, 2012","140.80","140.80","140.80","140.80","-","-0.42%"
"May 09, 2012","141.40","141.40","141.40","141.40","-","0.00%"
"May 08, 2012","141.40","141.40","141.40","141.40","-","-0.91%"
